starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 17 16:19:37 2022	1668701977	1	85	85	85
Thu Nov 17 16:19:38 2022	1668701978	0	85	85	85
Thu Nov 17 16:19:36 2022	1668701976	4	82	86	82
Thu Nov 17 16:19:38 2022	1668701978	3	83	86	83
Thu Nov 17 16:19:38 2022	1668701978	0	85	86	85
Thu Nov 17 16:19:38 2022	1668701978	2	83	86	83
Thu Nov 17 16:19:38 2022	1668701978	0	86	86	86
Thu Nov 17 16:19:38 2022	1668701978	0	85	86	85
Thu Nov 17 16:19:38 2022	1668701978	0	86	86	86
Thu Nov 17 16:19:37 2022	1668701977	0	86	86	86
Thu Nov 17 16:19:38 2022	1668701978	0	86	86	86
Thu Nov 17 16:19:38 2022	1668701978	1	85	86	85
Thu Nov 17 16:19:38 2022	1668701978	0	86	86	86
Thu Nov 17 16:19:38 2022	1668701978	0	86	87	86
Thu Nov 17 16:19:38 2022	1668701978	0	86	87	86
Thu Nov 17 16:19:36 2022	1668701976	4	83	87	83
Thu Nov 17 16:19:38 2022	1668701978	0	86	87	86
Thu Nov 17 16:19:38 2022	1668701978	0	87	87	87
Thu Nov 17 16:19:38 2022	1668701978	0	87	87	87
Thu Nov 17 16:19:38 2022	1668701978	0	87	87	87
Thu Nov 17 16:19:38 2022	1668701978	0	87	87	87
Thu Nov 17 16:19:38 2022	1668701978	0	87	87	87
Thu Nov 17 16:19:38 2022	1668701978	0	87	87	87
Thu Nov 17 16:19:38 2022	1668701978	0	87	87	86
Thu Nov 17 16:19:38 2022	1668701978	0	87	87	87
Thu Nov 17 16:19:37 2022	1668701977	0	87	87	87
Thu Nov 17 16:19:38 2022	1668701978	3	85	87	85
Thu Nov 17 16:19:38 2022	1668701978	0	87	87	87
Thu Nov 17 16:19:37 2022	1668701977	0	87	88	87
Thu Nov 17 16:19:37 2022	1668701977	0	87	88	87
Thu Nov 17 16:19:37 2022	1668701977	0	87	88	87
Thu Nov 17 16:19:38 2022	1668701978	0	88	88	88
Thu Nov 17 16:19:38 2022	1668701978	0	88	88	88
Thu Nov 17 16:19:38 2022	1668701978	0	88	88	88
Thu Nov 17 16:19:38 2022	1668701978	0	88	88	88
Thu Nov 17 16:19:38 2022	1668701978	0	88	88	88
Thu Nov 17 16:19:37 2022	1668701977	1	87	88	87
Thu Nov 17 16:19:38 2022	1668701978	0	88	88	88
Thu Nov 17 16:19:38 2022	1668701978	0	88	88	88
Thu Nov 17 16:19:38 2022	1668701978	0	88	88	88
Thu Nov 17 16:19:38 2022	1668701978	0	88	88	88
Thu Nov 17 16:19:38 2022	1668701978	0	88	88	88
Thu Nov 17 16:19:38 2022	1668701978	0	88	88	88
Thu Nov 17 16:19:38 2022	1668701978	0	88	88	88
Thu Nov 17 16:19:38 2022	1668701978	0	88	88	88
Thu Nov 17 16:19:38 2022	1668701978	0	88	88	88
Thu Nov 17 16:19:38 2022	1668701978	0	88	88	88
Thu Nov 17 16:19:38 2022	1668701978	0	88	88	88
Thu Nov 17 16:19:38 2022	1668701978	0	88	89	88
Thu Nov 17 16:19:38 2022	1668701978	3	86	89	86
Thu Nov 17 16:19:38 2022	1668701978	0	89	89	88
Thu Nov 17 16:19:38 2022	1668701978	0	88	89	88
Thu Nov 17 16:19:38 2022	1668701978	3	86	89	86
Thu Nov 17 16:19:38 2022	1668701978	0	89	89	88
Thu Nov 17 16:19:38 2022	1668701978	0	89	89	88
Thu Nov 17 16:19:37 2022	1668701977	0	88	89	88
Thu Nov 17 16:19:38 2022	1668701978	2	87	89	87
Thu Nov 17 16:19:38 2022	1668701978	0	88	89	88
Thu Nov 17 16:19:38 2022	1668701978	0	89	89	88
Thu Nov 17 16:19:38 2022	1668701978	0	89	89	89
Thu Nov 17 16:19:38 2022	1668701978	0	89	89	89
Thu Nov 17 16:19:38 2022	1668701978	0	89	89	88
Thu Nov 17 16:19:38 2022	1668701978	0	89	89	88
Thu Nov 17 16:19:37 2022	1668701977	0	89	89	88
Thu Nov 17 16:19:38 2022	1668701978	0	89	89	89
Thu Nov 17 16:19:38 2022	1668701978	0	89	89	89
Thu Nov 17 16:19:38 2022	1668701978	0	89	89	89
Thu Nov 17 16:19:38 2022	1668701978	0	89	89	89
Thu Nov 17 16:19:37 2022	1668701977	0	89	89	89
Thu Nov 17 16:19:37 2022	1668701977	0	89	89	89
Thu Nov 17 16:19:39 2022	1668701979	0	89	89	89
Thu Nov 17 16:19:39 2022	1668701979	0	89	89	89
Thu Nov 17 16:19:37 2022	1668701977	1	89	89	89
Thu Nov 17 16:19:38 2022	1668701978	0	89	90	89
Thu Nov 17 16:19:38 2022	1668701978	0	89	90	89
Thu Nov 17 16:19:38 2022	1668701978	0	90	90	90
Thu Nov 17 16:19:38 2022	1668701978	0	90	90	90
Thu Nov 17 16:19:38 2022	1668701978	0	90	90	90
Thu Nov 17 16:19:38 2022	1668701978	0	90	90	90
Thu Nov 17 16:19:38 2022	1668701978	3	87	90	87
Thu Nov 17 16:19:38 2022	1668701978	0	90	90	90
Thu Nov 17 16:19:38 2022	1668701978	0	90	90	90
Thu Nov 17 16:19:38 2022	1668701978	0	90	90	90
Thu Nov 17 16:19:38 2022	1668701978	0	90	90	90
Thu Nov 17 16:19:37 2022	1668701977	0	90	90	90
Thu Nov 17 16:19:38 2022	1668701978	0	90	90	90
Thu Nov 17 16:19:38 2022	1668701978	0	90	90	90
Thu Nov 17 16:19:38 2022	1668701978	0	90	90	90
Thu Nov 17 16:19:38 2022	1668701978	0	90	90	90
Thu Nov 17 16:19:38 2022	1668701978	0	90	90	90
Thu Nov 17 16:19:38 2022	1668701978	0	90	90	90
Thu Nov 17 16:19:38 2022	1668701978	0	90	90	90
Thu Nov 17 16:19:38 2022	1668701978	0	90	91	90
Thu Nov 17 16:19:38 2022	1668701978	0	90	91	90
Thu Nov 17 16:19:38 2022	1668701978	0	90	91	90
Thu Nov 17 16:19:37 2022	1668701977	0	91	91	90
Thu Nov 17 16:19:38 2022	1668701978	0	91	91	91
Thu Nov 17 16:19:38 2022	1668701978	0	91	91	91
Thu Nov 17 16:19:38 2022	1668701978	0	91	91	91
Thu Nov 17 16:19:38 2022	1668701978	0	91	91	91
Thu Nov 17 16:19:38 2022	1668701978	0	91	91	91
Thu Nov 17 16:19:38 2022	1668701978	0	91	91	91
Thu Nov 17 16:19:38 2022	1668701978	0	91	91	91
Thu Nov 17 16:19:38 2022	1668701978	0	91	91	91
Thu Nov 17 16:19:38 2022	1668701978	2	90	91	90
Thu Nov 17 16:19:38 2022	1668701978	0	91	92	91
Thu Nov 17 16:19:38 2022	1668701978	0	91	92	91
Thu Nov 17 16:19:38 2022	1668701978	0	91	92	91
Thu Nov 17 16:19:38 2022	1668701978	0	92	92	91
Thu Nov 17 16:19:38 2022	1668701978	0	92	92	91
Thu Nov 17 16:19:38 2022	1668701978	0	92	92	91
Thu Nov 17 16:19:38 2022	1668701978	0	92	92	92
Thu Nov 17 16:19:38 2022	1668701978	0	92	92	92
Thu Nov 17 16:19:38 2022	1668701978	0	92	92	92
Thu Nov 17 16:19:38 2022	1668701978	0	92	92	92
Thu Nov 17 16:19:37 2022	1668701977	0	92	92	92
Thu Nov 17 16:19:38 2022	1668701978	0	92	92	92
Thu Nov 17 16:19:38 2022	1668701978	0	92	92	92
Thu Nov 17 16:19:38 2022	1668701978	0	92	92	92
Thu Nov 17 16:19:38 2022	1668701978	0	92	93	92
Thu Nov 17 16:19:38 2022	1668701978	0	92	93	92
Thu Nov 17 16:19:38 2022	1668701978	1	92	93	91
Thu Nov 17 16:19:37 2022	1668701977	0	92	93	92
Thu Nov 17 16:19:38 2022	1668701978	0	93	93	92
Thu Nov 17 16:19:38 2022	1668701978	0	93	93	92
Thu Nov 17 16:19:38 2022	1668701978	0	93	93	92
Thu Nov 17 16:19:37 2022	1668701977	1	92	93	92
Thu Nov 17 16:19:37 2022	1668701977	0	93	94	93
Thu Nov 17 16:19:38 2022	1668701978	0	93	94	91
Thu Nov 17 16:19:38 2022	1668701978	0	94	94	93
Thu Nov 17 16:19:37 2022	1668701977	0	94	94	94
Thu Nov 17 16:19:38 2022	1668701978	0	94	94	93
Thu Nov 17 16:19:38 2022	1668701978	0	94	94	93
Thu Nov 17 16:19:38 2022	1668701978	0	94	94	94
Thu Nov 17 16:19:38 2022	1668701978	0	94	94	94
Thu Nov 17 16:19:38 2022	1668701978	1	93	94	93
